Year,Event,Full_Text,Sentiment_Score,Category
2016,"^ab""Press Gaggle by Press Secretary Sean Spicer en route JBA, 2/6/2016"".whitehouse.gov. February 6, 2017.Archivedfrom the original on August 3, 2025. RetrievedFebruary 9,2017– viaNational Archives....","^ab""Press Gaggle by Press Secretary Sean Spicer en route JBA, 2/6/2016"".whitehouse.gov. February 6, 2017.Archivedfrom the original on August 3, 2025. RetrievedFebruary 9,2017– viaNational Archives.",0.375,Positive
2016,TheHouse Intelligence Committeeopens an inquiry into allegations ofRussian interference in the 2016 US elections....,TheHouse Intelligence Committeeopens an inquiry into allegations ofRussian interference in the 2016 US elections.,0.0,Neutral
2016,Trump claims without evidence that three million votes were cast illegally forHillary Clintonin the 2016 presidential election....,Trump claims without evidence that three million votes were cast illegally forHillary Clintonin the 2016 presidential election.,-0.5,Negative
2016,"TrumpnominatesNeil Gorsuchas anAssociate Justiceof theSupreme Courtto fill the vacancy left byAntonin Scalia, who died in February 2016....","TrumpnominatesNeil Gorsuchas anAssociate Justiceof theSupreme Courtto fill the vacancy left byAntonin Scalia, who died in February 2016.",0.0,Neutral
2016,Foreign Advisor Papadopoulos is interviewed by the FBI concerning Russian meetings in 2016. He pleads guilty in October 2017 to making omissions and false statements during the interview....,Foreign Advisor Papadopoulos is interviewed by the FBI concerning Russian meetings in 2016. He pleads guilty in October 2017 to making omissions and false statements during the interview.,-0.25625000000000003,Negative
2016,"Possible secure video call to discuss sanctions against theFSBandGRUbetween Trump andVladimir Putin, thepresident of Russia, suggested by Russian ambassadorSergey Kislyakto National Security Advisor F...","Possible secure video call to discuss sanctions against theFSBandGRUbetween Trump andVladimir Putin, thepresident of Russia, suggested by Russian ambassadorSergey Kislyakto National Security Advisor Flynn during a December 29, 2016 phone call.",0.13333333333333333,Positive
2016,Timeline of the 2016 United States presidential election...,Timeline of the 2016 United States presidential election,0.0,Neutral
2016,Attorney General Sessions recuses himself from any inquiries involving allegations of Russian interference in the 2016 presidential election....,Attorney General Sessions recuses himself from any inquiries involving allegations of Russian interference in the 2016 presidential election.,0.02500000000000001,Neutral
2017,"^Arnsdorf, Isaac; Dawsey, Josh (March 2, 2017).""Trump's team nixed ethics course for White House staff"".Politico.Archivedfrom the original on May 28, 2023. RetrievedSeptember 7,2020....","^Arnsdorf, Isaac; Dawsey, Josh (March 2, 2017).""Trump's team nixed ethics course for White House staff"".Politico.Archivedfrom the original on May 28, 2023. RetrievedSeptember 7,2020.",0.1875,Positive
2017,"^""U.S. EPA denies petition to ban pesticide chlorpyrifos"".Reuters. March 29, 2017.Archivedfrom the original on March 30, 2017. RetrievedMarch 30,2017....","^""U.S. EPA denies petition to ban pesticide chlorpyrifos"".Reuters. March 29, 2017.Archivedfrom the original on March 30, 2017. RetrievedMarch 30,2017.",0.375,Positive
2017,"^Colvin, Jill; Maria, Danilova (March 3, 2017).""Trump, DeVos Visit Private School To Promote School Choice"".CBS Detroit.Archivedfrom the original on March 3, 2017. RetrievedMarch 3,2017....","^Colvin, Jill; Maria, Danilova (March 3, 2017).""Trump, DeVos Visit Private School To Promote School Choice"".CBS Detroit.Archivedfrom the original on March 3, 2017. RetrievedMarch 3,2017.",0.1875,Positive
2017,"^Webb, Kristina (March 3, 2017).""One arrested, one detained at Trump protest in Palm Beach"".The Palm Beach Post.Archivedfrom the original on March 4, 2017. RetrievedMarch 4,2017....","^Webb, Kristina (March 3, 2017).""One arrested, one detained at Trump protest in Palm Beach"".The Palm Beach Post.Archivedfrom the original on March 4, 2017. RetrievedMarch 4,2017.",0.375,Positive
2017,"^Elliott, Justin (March 3, 2017).""How the Trump Administration May Be Skirting Its Own Ethics Rules"".ProPublica. Archived fromthe originalon November 28, 2020. RetrievedSeptember 7,2020....","^Elliott, Justin (March 3, 2017).""How the Trump Administration May Be Skirting Its Own Ethics Rules"".ProPublica. Archived fromthe originalon November 28, 2020. RetrievedSeptember 7,2020.",0.6,Positive
2017,"^""Public Schedule: March 3, 2017"".US Department of State. March 3, 2017. Archived fromthe originalon March 25, 2017....","^""Public Schedule: March 3, 2017"".US Department of State. March 3, 2017. Archived fromthe originalon March 25, 2017.",0.0,Neutral
2017,"^""Obama 'never ordered Trump wire-tapping'"".BBC News. March 4, 2017.Archivedfrom the original on March 4, 2017. RetrievedMarch 4,2017....","^""Obama 'never ordered Trump wire-tapping'"".BBC News. March 4, 2017.Archivedfrom the original on March 4, 2017. RetrievedMarch 4,2017.",0.375,Positive
2017,"^""EPA Withdraws Information Request for the Oil and Gas Industry"".US Environmental Protection Agency. March 2, 2017. Archived fromthe originalon April 17, 2017....","^""EPA Withdraws Information Request for the Oil and Gas Industry"".US Environmental Protection Agency. March 2, 2017. Archived fromthe originalon April 17, 2017.",0.0,Neutral
2017,"^Diamond, Jeremy (March 13, 2017).""Spicer: Trump didn't mean wiretapping when he tweeted about wiretapping | CNN Politics"".CNN.Archivedfrom the original on November 23, 2024. RetrievedNovember 22,2025...","^Diamond, Jeremy (March 13, 2017).""Spicer: Trump didn't mean wiretapping when he tweeted about wiretapping | CNN Politics"".CNN.Archivedfrom the original on November 23, 2024. RetrievedNovember 22,2025.",0.03125,Neutral
2017,"^""Public Schedule: March 2, 2017"".US Department of State. March 2, 2017. Archived fromthe originalon March 25, 2017....","^""Public Schedule: March 2, 2017"".US Department of State. March 2, 2017. Archived fromthe originalon March 25, 2017.",0.0,Neutral
2017,"^Schmidt, Michael; Rosenberg, Matthew; Apuzzo, Matt (March 2, 2017).""Kushner and Flynn Met With Russian Envoy in December, White House Says"".The New York Times.Archivedfrom the original on March 3, 20...","^Schmidt, Michael; Rosenberg, Matthew; Apuzzo, Matt (March 2, 2017).""Kushner and Flynn Met With Russian Envoy in December, White House Says"".The New York Times.Archivedfrom the original on March 3, 2017. RetrievedMarch 3,2017.",0.1278409090909091,Positive
2017,"^Davenport, Coral (March 2, 2017).""Senate Confirms Rick Perry as Energy Secretary"".The New York Times.Archivedfrom the original on March 3, 2017. RetrievedMarch 2,2017....","^Davenport, Coral (March 2, 2017).""Senate Confirms Rick Perry as Energy Secretary"".The New York Times.Archivedfrom the original on March 3, 2017. RetrievedMarch 2,2017.",0.2556818181818182,Positive
2017,"^Green, Erica L. (March 29, 2017).""Betsy DeVos Calls for More School Choice, Saying Money Isn't the Answer"".The New York Times.Archivedfrom the original on April 1, 2017....","^Green, Erica L. (March 29, 2017).""Betsy DeVos Calls for More School Choice, Saying Money Isn't the Answer"".The New York Times.Archivedfrom the original on April 1, 2017.",0.20284090909090907,Positive
2017,"^Alcindor, Yamiche (March 2, 2017).""Ben Carson Is Confirmed as HUD Secretary"".The New York Times.Archivedfrom the original on March 3, 2017. RetrievedMarch 2,2017....","^Alcindor, Yamiche (March 2, 2017).""Ben Carson Is Confirmed as HUD Secretary"".The New York Times.Archivedfrom the original on March 3, 2017. RetrievedMarch 2,2017.",0.3037878787878788,Positive
2017,"^Lichtblau, Eric; Shear, Michael D.; Savage, Charlie (March 2, 2017).""Jeff Sessions Recuses Himself From Russia Inquiry"".The New York Times.Archivedfrom the original on March 2, 2017. RetrievedMarch 2...","^Lichtblau, Eric; Shear, Michael D.; Savage, Charlie (March 2, 2017).""Jeff Sessions Recuses Himself From Russia Inquiry"".The New York Times.Archivedfrom the original on March 2, 2017. RetrievedMarch 2,2017.",0.2556818181818182,Positive
2017,"^Diamond, Jeremy (March 2, 2017).""Trump touts call for increased military spending during ship visit | CNN Politics"".CNN.Archivedfrom the original on September 1, 2022. RetrievedNovember 22,2025....","^Diamond, Jeremy (March 2, 2017).""Trump touts call for increased military spending during ship visit | CNN Politics"".CNN.Archivedfrom the original on September 1, 2022. RetrievedNovember 22,2025.",0.1375,Positive
2017,"^""Trump says he has 'total' confidence in Sessions"".Politico. March 2, 2017.Archivedfrom the original on April 10, 2023. RetrievedNovember 22,2025....","^""Trump says he has 'total' confidence in Sessions"".Politico. March 2, 2017.Archivedfrom the original on April 10, 2023. RetrievedNovember 22,2025.",0.1875,Positive
2017,"^""The President's 2017 Trade Policy Agenda""(PDF).Office of the US Trade Representative. March 1, 2017.Archived(PDF)from the original on April 17, 2017....","^""The President's 2017 Trade Policy Agenda""(PDF).Office of the US Trade Representative. March 1, 2017.Archived(PDF)from the original on April 17, 2017.",0.375,Positive
2017,"^""Public Schedule: March 1, 2017"".US Department of State. March 1, 2017. Archived fromthe originalon March 25, 2017....","^""Public Schedule: March 1, 2017"".US Department of State. March 1, 2017. Archived fromthe originalon March 25, 2017.",0.0,Neutral
2017,"^""Day One: Secretary Zinke Signs Orders to Expand Access to Public Lands"".US Department of the Interior. March 2, 2017. Archived fromthe originalon April 27, 2017....","^""Day One: Secretary Zinke Signs Orders to Expand Access to Public Lands"".US Department of the Interior. March 2, 2017. Archived fromthe originalon April 27, 2017.",0.0,Neutral
2017,"^""Ivanka Trump is making her White House job official"".CNN. March 30, 2017.Archivedfrom the original on March 30, 2017. RetrievedMarch 30,2017....","^""Ivanka Trump is making her White House job official"".CNN. March 30, 2017.Archivedfrom the original on March 30, 2017. RetrievedMarch 30,2017.",0.1875,Positive
2017,"^""Trump has not asked FBI about wiretapping claims"".BBC News. March 7, 2017.Archivedfrom the original on March 7, 2017. RetrievedMarch 7,2017....","^""Trump has not asked FBI about wiretapping claims"".BBC News. March 7, 2017.Archivedfrom the original on March 7, 2017. RetrievedMarch 7,2017.",0.375,Positive
2017,"^""Mexico consulates launch effort to help migrants"".The Blade. March 3, 2017.Archivedfrom the original on March 9, 2017....","^""Mexico consulates launch effort to help migrants"".The Blade. March 3, 2017.Archivedfrom the original on March 9, 2017.",0.375,Positive
2017,"^""More US states challenge Trump travel ban"".BBC News. March 9, 2017.Archivedfrom the original on March 9, 2017. RetrievedMarch 9,2017....","^""More US states challenge Trump travel ban"".BBC News. March 9, 2017.Archivedfrom the original on March 9, 2017. RetrievedMarch 9,2017.",0.4375,Positive
2017,"^DiChristopher, Tom (March 9, 2017).""EPA chief Scott Pruitt says carbon dioxide is not a primary contributor to global warming"".CNBC.Archivedfrom the original on August 6, 2025. RetrievedSeptember 7,2...","^DiChristopher, Tom (March 9, 2017).""EPA chief Scott Pruitt says carbon dioxide is not a primary contributor to global warming"".CNBC.Archivedfrom the original on August 6, 2025. RetrievedSeptember 7,2020.",0.05833333333333333,Positive
2017,"^Javers, Eamon (March 9, 2017).""Trump told Mnuchin he wants deregulation done in six months, sources say"".CNBC.Archivedfrom the original on March 9, 2017. RetrievedMarch 9,2017....","^Javers, Eamon (March 9, 2017).""Trump told Mnuchin he wants deregulation done in six months, sources say"".CNBC.Archivedfrom the original on March 9, 2017. RetrievedMarch 9,2017.",0.2875,Positive
2017,"^Lawder, David; Becker, Amanda (March 9, 2017).""Trump meets with community bankers, pledges to scale back regulations"".The Globe and Mail.Archivedfrom the original on March 10, 2017. RetrievedMarch 9,...","^Lawder, David; Becker, Amanda (March 9, 2017).""Trump meets with community bankers, pledges to scale back regulations"".The Globe and Mail.Archivedfrom the original on March 10, 2017. RetrievedMarch 9,2017.",0.1875,Positive
2017,"^Chira, Susan; Abrams, Rachel; Rogers, Katie (March 8, 2017).""'Day Without a Woman' Protest Tests a Movement's Staying Power"".The New York Times.Archivedfrom the original on March 20, 2025. RetrievedF...","^Chira, Susan; Abrams, Rachel; Rogers, Katie (March 8, 2017).""'Day Without a Woman' Protest Tests a Movement's Staying Power"".The New York Times.Archivedfrom the original on March 20, 2025. RetrievedFebruary 29,2020.",0.2556818181818182,Positive
2017,"^""Public Schedule: March 8, 2017"".US Department of State. March 8, 2017. Archived fromthe originalon March 25, 2017....","^""Public Schedule: March 8, 2017"".US Department of State. March 8, 2017. Archived fromthe originalon March 25, 2017.",0.0,Neutral
2017,"^""Laurene Powell Jobs, Widow of Apple Co-Founder, Talks Immigration With Trump"".Bloomberg News. March 8, 2017.Archivedfrom the original on March 8, 2017. RetrievedMarch 16,2017....","^""Laurene Powell Jobs, Widow of Apple Co-Founder, Talks Immigration With Trump"".Bloomberg News. March 8, 2017.Archivedfrom the original on March 8, 2017. RetrievedMarch 16,2017.",0.375,Positive
2017,"^Cao, Rachel (March 9, 2017).""House Oversight Committee wants to know how the White House archives Trump's deleted tweets"".CNBC.Archivedfrom the original on March 10, 2017. RetrievedMarch 11,2017....","^Cao, Rachel (March 9, 2017).""House Oversight Committee wants to know how the White House archives Trump's deleted tweets"".CNBC.Archivedfrom the original on March 10, 2017. RetrievedMarch 11,2017.",0.19166666666666665,Positive
2017,"^""Trump Meets With Democrats at White House on Drug Prices"".Bloomberg News. March 8, 2017.Archivedfrom the original on March 9, 2017. RetrievedMarch 16,2017....","^""Trump Meets With Democrats at White House on Drug Prices"".Bloomberg News. March 8, 2017.Archivedfrom the original on March 9, 2017. RetrievedMarch 16,2017.",0.1875,Positive
2017,"^Loughland, Oliver (March 8, 2017).""Revised travel ban to face first legal challenge as Hawaii lawsuit advances"".The Guardian.Archivedfrom the original on March 8, 2017. RetrievedMarch 9,2017....","^Loughland, Oliver (March 8, 2017).""Revised travel ban to face first legal challenge as Hawaii lawsuit advances"".The Guardian.Archivedfrom the original on March 8, 2017. RetrievedMarch 9,2017.",0.27499999999999997,Positive
2017,"^Stanglin, Doug; Alexander, Bryan (March 4, 2017).""Thousands of supporters 'March 4 Trump' at rallies across USA"".USA Today.Archivedfrom the original on November 30, 2024. RetrievedFebruary 29,2020....","^Stanglin, Doug; Alexander, Bryan (March 4, 2017).""Thousands of supporters 'March 4 Trump' at rallies across USA"".USA Today.Archivedfrom the original on November 30, 2024. RetrievedFebruary 29,2020.",0.375,Positive
2017,"^Goodnough, Abby; Kaplan, Thomas; Pear, Robert (March 8, 2017).""Health Providers Denounce G.O.P. Bill as House Panels Get to Work"".The New York Times.Archivedfrom the original on March 8, 2017. Retrie...","^Goodnough, Abby; Kaplan, Thomas; Pear, Robert (March 8, 2017).""Health Providers Denounce G.O.P. Bill as House Panels Get to Work"".The New York Times.Archivedfrom the original on March 8, 2017. RetrievedMarch 8,2017.",0.2556818181818182,Positive
2017,"^""President Donald J. Trump Proclaims March 2017 as American Red Cross Month"".whitehouse.gov.Washington, D.C.March 1, 2017.Archivedfrom the original on June 26, 2025. RetrievedMarch 6,2017– viaNationa...","^""President Donald J. Trump Proclaims March 2017 as American Red Cross Month"".whitehouse.gov.Washington, D.C.March 1, 2017.Archivedfrom the original on June 26, 2025. RetrievedMarch 6,2017– viaNational Archives.",0.09375,Positive
2017,"^Pradhan, Rachana; Haberkorn, Jennifer; Ferris, Sarah (March 13, 2017).""CBO: 24 million fewer insured under House bill repealing Obamacare"".Politico.Archivedfrom the original on December 1, 2024. Retr...","^Pradhan, Rachana; Haberkorn, Jennifer; Ferris, Sarah (March 13, 2017).""CBO: 24 million fewer insured under House bill repealing Obamacare"".Politico.Archivedfrom the original on December 1, 2024. RetrievedSeptember 7,2020.",0.375,Positive
2017,"^""Federal judge in Hawaii extends order halting Trump's travel ban"".Chicago Tribune. March 29, 2017.Archivedfrom the original on March 30, 2017. RetrievedMarch 30,2017....","^""Federal judge in Hawaii extends order halting Trump's travel ban"".Chicago Tribune. March 29, 2017.Archivedfrom the original on March 30, 2017. RetrievedMarch 30,2017.",0.375,Positive
2017,"^McMurray, Justin (March 7, 2017).""Donald Trump says nuclear threat from North Korea has entered 'new phase'"".The Guardian.Archivedfrom the original on March 8, 2017. RetrievedMarch 8,2017....","^McMurray, Justin (March 7, 2017).""Donald Trump says nuclear threat from North Korea has entered 'new phase'"".The Guardian.Archivedfrom the original on March 8, 2017. RetrievedMarch 8,2017.",0.2556818181818182,Positive
2017,"^""President Donald J. Trump Proclaims March 5 through March 11, 2017, as National Consumer Protection Week"".whitehouse.gov.Washington, D.C.March 6, 2017.Archivedfrom the original on July 15, 2025. Ret...","^""President Donald J. Trump Proclaims March 5 through March 11, 2017, as National Consumer Protection Week"".whitehouse.gov.Washington, D.C.March 6, 2017.Archivedfrom the original on July 15, 2025. RetrievedMarch 6,2017– viaNational Archives.",0.375,Positive
2017,"^""Memorandum for the Secretary of State, the Attorney General, the Secretary of Homeland Security"".whitehouse.gov. March 6, 2017.Archivedfrom the original on October 12, 2025 – viaNational Archives....","^""Memorandum for the Secretary of State, the Attorney General, the Secretary of Homeland Security"".whitehouse.gov. March 6, 2017.Archivedfrom the original on October 12, 2025 – viaNational Archives.",0.21250000000000002,Positive
2017,"^""Trump signs new immigration order"".BBC News. March 6, 2017.Archivedfrom the original on March 20, 2017. RetrievedMarch 6,2017....","^""Trump signs new immigration order"".BBC News. March 6, 2017.Archivedfrom the original on March 20, 2017. RetrievedMarch 6,2017.",0.2556818181818182,Positive
2017,"^Allen, Nick (March 5, 2017).""Congress to probe Donald Trump's explosive claims Barack Obama wiretapped him"".The Daily Telegraph.Archivedfrom the original on March 5, 2017. RetrievedMarch 5,2017....","^Allen, Nick (March 5, 2017).""Congress to probe Donald Trump's explosive claims Barack Obama wiretapped him"".The Daily Telegraph.Archivedfrom the original on March 5, 2017. RetrievedMarch 5,2017.",0.1875,Positive
2017,"^""Trump wire-tap claim denied by ex-intelligence chief Clapper"".BBC News. March 5, 2017.Archivedfrom the original on March 5, 2017. RetrievedMarch 5,2017....","^""Trump wire-tap claim denied by ex-intelligence chief Clapper"".BBC News. March 5, 2017.Archivedfrom the original on March 5, 2017. RetrievedMarch 5,2017.",0.375,Positive
2017,"^""Canada: No plans to clamp down at border to deter migrants"".Reuters. March 6, 2017.Archivedfrom the original on May 17, 2017....","^""Canada: No plans to clamp down at border to deter migrants"".Reuters. March 6, 2017.Archivedfrom the original on May 17, 2017.",0.10972222222222222,Positive
2017,"^""Public Schedule: March 7, 2017"".US Department of State. March 7, 2017. Archived fromthe originalon March 25, 2017....","^""Public Schedule: March 7, 2017"".US Department of State. March 7, 2017. Archived fromthe originalon March 25, 2017.",0.0,Neutral
2017,"^""President Donald J. Trump Proclaims March 2017 as Irish-American Heritage Month"".whitehouse.gov.Washington, D.C.March 1, 2017.Archivedfrom the original on March 21, 2025. RetrievedMarch 6,2017– viaN...","^""President Donald J. Trump Proclaims March 2017 as Irish-American Heritage Month"".whitehouse.gov.Washington, D.C.March 1, 2017.Archivedfrom the original on March 21, 2025. RetrievedMarch 6,2017– viaNational Archives.",0.375,Positive
2017,"^Tapper, Jake; Blitzer, Wolf; Kopan, Tal (March 1, 2017).""Trump envisions bill allowing many immigrants to stay in US"".CNN.Archivedfrom the original on March 23, 2017. RetrievedMarch 23,2017....","^Tapper, Jake; Blitzer, Wolf; Kopan, Tal (March 1, 2017).""Trump envisions bill allowing many immigrants to stay in US"".CNN.Archivedfrom the original on March 23, 2017. RetrievedMarch 23,2017.",0.4375,Positive
2017,"^Lynch, David; Weaver, Courtney (March 2, 2017).""Jeff Sessions failed to disclose meeting Russian ambassador"".Financial Times.Archivedfrom the original on March 2, 2017. RetrievedMarch 2,2017....","^Lynch, David; Weaver, Courtney (March 2, 2017).""Jeff Sessions failed to disclose meeting Russian ambassador"".Financial Times.Archivedfrom the original on March 2, 2017. RetrievedMarch 2,2017.",-0.041666666666666664,Neutral
2017,"^""Remarks by President Trump at the Conservative Political Action Conference"".whitehouse.gov. February 24, 2017.Archivedfrom the original on September 18, 2025 – viaNational Archives....","^""Remarks by President Trump at the Conservative Political Action Conference"".whitehouse.gov. February 24, 2017.Archivedfrom the original on September 18, 2025 – viaNational Archives.",0.15833333333333333,Positive
2017,"^Ware, Doug (February 24, 2017).""Peru leader Kuczynski meets Trump at White House: 'We have excellent relations'"".United Press International.Archivedfrom the original on February 25, 2017. RetrievedFe...","^Ware, Doug (February 24, 2017).""Peru leader Kuczynski meets Trump at White House: 'We have excellent relations'"".United Press International.Archivedfrom the original on February 25, 2017. RetrievedFebruary 25,2017.",0.4583333333333333,Positive
2017,"^""Treasury Sanctions Senior Al-Nusrah Front Leaders Concurrently with UN Designations"".US Department of the Treasury. February 23, 2017.Archivedfrom the original on April 16, 2017....","^""Treasury Sanctions Senior Al-Nusrah Front Leaders Concurrently with UN Designations"".US Department of the Treasury. February 23, 2017.Archivedfrom the original on April 16, 2017.",0.375,Positive
2017,"^""Mexican officials tell US: We don't agree"".CNN. February 24, 2017.Archivedfrom the original on March 1, 2017. RetrievedMarch 16,2017....","^""Mexican officials tell US: We don't agree"".CNN. February 24, 2017.Archivedfrom the original on March 1, 2017. RetrievedMarch 16,2017.",0.1875,Positive
2017,"^""BOP: Memorandum on Use of Private Prisons Rescinded"".Federal Bureau of Prisons. February 24, 2017.Archivedfrom the original on October 3, 2025. RetrievedDecember 11,2025....","^""BOP: Memorandum on Use of Private Prisons Rescinded"".Federal Bureau of Prisons. February 24, 2017.Archivedfrom the original on October 3, 2025. RetrievedDecember 11,2025.",0.1875,Positive
2017,"^""Trump administration signals a possible crackdown on states over marijuana"".Los Angeles Times. February 23, 2017.Archivedfrom the original on February 28, 2017....","^""Trump administration signals a possible crackdown on states over marijuana"".Los Angeles Times. February 23, 2017.Archivedfrom the original on February 28, 2017.",0.1875,Positive
